date,year,open,high,low,ets_price,volume,sp500_close,carbon_index,coal_price,stoxx50,close_ma5,volume_ma5,close_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,high_close_ratio,low_close_ratio
2017-09-04,2017,5.91,5.91,5.91,5.91,0,2750.706582,0.010928962,88.6,3431,5.942,0,-0.005385392,5.953,0.5,-0.007223249,5.753,0.25,0.02729011,5.3525,33.71666667,0.104156936,-1,5.066,28.825,0.166600869,-1,0,0
2017-09-05,2017,6.49,6.49,6.49,6.49,0,2457.85,0.106382979,89.15,3421,6.034,0,0.07557176,6.025,0.5,0.077178423,5.8145,0.25,0.11617508,5.377333333,33.71666667,0.206917927,-1,5.0785,25.25,0.277936399,-1,0,0
2017-09-06,2017,6.38,6.38,6.38,6.69,1,2465.54,0.014925373,89.15,3435,6.168,0.2,0.08463035,6.1,0.6,0.096721311,5.881,0.3,0.137561639,5.406666667,17.06666667,0.237361282,-0.94140625,5.093166667,25.08333333,0.313524657,-0.96013289,-0.046337818,-0.046337818
2017-09-07,2017,6.89,6.89,6.89,6.89,0,2465.1,0.032467532,89.15,3449,6.36,0.2,0.083333333,6.195,0.6,0.112187248,5.9575,0.3,0.156525388,5.439,0.4,0.266776981,-1,5.10925,24.90833333,0.348534521,-1,0,0
2017-09-08,2017,7.06,7.06,7.06,7.06,0,2461.43,0.021052632,89.8,3447,6.608,0.2,0.068401937,6.293,0.6,0.121881456,6.0415,0.3,0.168583961,5.4755,0.366666667,0.289379965,-1,5.126666667,23.40833333,0.377113134,-1,0,0
2017-09-11,2017,6.87,6.87,6.87,6.87,0,2488.11,-0.026315789,90.15,3492,6.8,0.2,0.010294118,6.371,0.1,0.078323654,6.1095,0.3,0.124478272,5.508,0.366666667,0.247276688,-1,5.14425,21.84166667,0.335471643,-1,0,0
2017-09-12,2017,6.86,6.86,6.86,6.86,0,2496.48,0.03125,90,3512,6.874,0.2,-0.00203666,6.454,0.1,0.062906725,6.1765,0.3,0.110661378,5.54,0.183333333,0.238267148,-1,5.162833333,21.84166667,0.328727766,-1,0,0
2017-09-13,2017,7.07,7.07,7.07,7.09,6,2498.37,0.005649718,91.25,3527,6.954,1.2,0.019557089,6.561,0.7,0.080627953,6.2415,0.6,0.135944885,5.577,0.283333333,0.27129281,20.17647059,5.1825,21.89166667,0.368065605,-0.725923106,-0.002820874,-0.002820874
2017-09-14,2017,7.09,7.09,7.09,7.09,0,2495.62,0,91.8,3530,6.994,1.2,0.013726051,6.677,0.7,0.061854126,6.306,0.6,0.124326039,5.614166667,0.2,0.262876651,-1,5.202,21.89166667,0.362937332,-1,0,0
2017-09-15,2017,6.98,6.98,6.79,6.94,4,2500.23,-0.048780488,91.7,3525,6.97,2,-0.004304161,6.789,1.1,0.022241862,6.3625,0.8,0.090766208,5.648833333,0.266666667,0.228572272,14,5.218916667,17.75833333,0.329777891,-0.774753637,0.005763689,-0.021613833
